Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate,Type,Rate of Change,OCB,CCB
55000,2626.5,860.22,4328.842,-231,0,0,1218.13814,0,600,0,0,45597.29986,0.170958184,0.3372745,"Married No Kids, One Earner",662.7255,,
56000,2677.5,860.22,4526.192,-231,0,0,1307.06264,0,600,0,0,46260.02536,0.173928119,0.3372745,"Married No Kids, One Earner",662.7255,,
57000,2728.5,860.22,4723.542,-231,0,0,1395.98714,0,600,0,0,46922.75086,0.176793845,0.3372745,"Married No Kids, One Earner",662.7255,,
58000,2748.9,860.22,4925.482,-231,0,0,1486.45694,0,600,0,0,47609.94106,0.179138947,0.3128098,"Married No Kids, One Earner",687.1902,,
59000,2748.9,860.22,5130.482,-231,0,0,1577.95694,0,600,0,0,48313.44106,0.181128118,0.2965,"Married No Kids, One Earner",703.5,,
60000,2748.9,860.22,5335.482,-231,0,0,1669.45694,0,600,0,0,49016.94106,0.183050982,0.2965,"Married No Kids, One Earner",703.5,,
61000,2748.9,860.22,5540.482,-231,0,0,1860.95694,0,600,0,0,49620.44106,0.186550147,0.3965,"Married No Kids, One Earner",603.5,,
62000,2748.9,860.22,5745.482,-231,0,0,2052.45694,0,600,0,0,50223.94106,0.189936435,0.3965,"Married No Kids, One Earner",603.5,,
63000,2748.9,860.22,5950.482,-231,0,0,2243.95694,0,600,0,0,50827.44106,0.193215221,0.3965,"Married No Kids, One Earner",603.5,,
64000,2748.9,860.22,6155.482,-231,0,0,2435.45694,0,600,0,0,51430.94106,0.196391546,0.3965,"Married No Kids, One Earner",603.5,,
65000,2748.9,860.22,6360.482,-231,0,0,2626.95694,0,600,0,0,52034.44106,0.199470138,0.3965,"Married No Kids, One Earner",603.5,,
66000,2748.9,860.22,6565.482,-231,0,0,2818.45694,0,600,0,0,52637.94106,0.202455438,0.3965,"Married No Kids, One Earner",603.5,,
67000,2748.9,860.22,6770.482,-231,0,0,3009.95694,0,600,0,0,53241.44106,0.205351626,0.3965,"Married No Kids, One Earner",603.5,,
68000,2748.9,860.22,6975.482,-231,0,0,3201.45694,0,600,0,0,53844.94106,0.208162631,0.3965,"Married No Kids, One Earner",603.5,,
69000,2748.9,860.22,7180.482,-231,0,0,3342.95694,0,600,0,0,54498.44106,0.210167521,0.3465,"Married No Kids, One Earner",653.5,,
70000,2748.9,860.22,7385.482,-231,0,0,3434.45694,0,600,0,0,55201.94106,0.211400842,0.2965,"Married No Kids, One Earner",703.5,,
71000,2748.9,860.22,7590.482,-231,0,0,3525.95694,0,600,0,0,55905.44106,0.212599422,0.2965,"Married No Kids, One Earner",703.5,,
72000,2748.9,860.22,7795.482,-231,0,0,3617.45694,0,600,0,0,56608.94106,0.213764708,0.2965,"Married No Kids, One Earner",703.5,,
73000,2748.9,860.22,8000.482,-231,0,0,3708.95694,0,700,0,0,57212.44106,0.216267931,0.3965,"Married No Kids, One Earner",603.5,,
74000,2748.9,860.22,8205.482,-231,0,0,3800.45694,0,750,0,0,57865.94106,0.218027824,0.3465,"Married No Kids, One Earner",653.5,,
75000,2748.9,860.22,8410.482,-231,0,0,3891.95694,0,750,0,0,58569.44106,0.219074119,0.2965,"Married No Kids, One Earner",703.5,,
76000,2748.9,860.22,8615.482,-231,0,0,3983.45694,0,750,0,0,59272.94106,0.220092881,0.2965,"Married No Kids, One Earner",703.5,,
77000,2748.9,860.22,8820.482,-231,0,0,4074.95694,0,750,0,0,59976.44106,0.221085181,0.2965,"Married No Kids, One Earner",703.5,,
78000,2748.9,860.22,9025.482,-231,0,0,4166.45694,0,750,0,0,60679.94106,0.222052038,0.2965,"Married No Kids, One Earner",703.5,,
79000,2748.9,860.22,9230.482,-231,0,0,4257.95694,0,750,0,0,61383.44106,0.222994417,0.2965,"Married No Kids, One Earner",703.5,,
80000,2748.9,860.22,9435.482,-231,0,0,4349.45694,0,750,0,0,62086.94106,0.223913237,0.2965,"Married No Kids, One Earner",703.5,,
81000,2748.9,860.22,9640.482,-231,0,0,4440.95694,0,750,0,0,62790.44106,0.22480937,0.2965,"Married No Kids, One Earner",703.5,,
82000,2748.9,860.22,9845.482,-231,0,0,4532.45694,0,750,0,0,63493.94106,0.225683646,0.2965,"Married No Kids, One Earner",703.5,,
83000,2748.9,860.22,10050.482,-231,0,0,4623.95694,0,750,0,0,64197.44106,0.226536855,0.2965,"Married No Kids, One Earner",703.5,,
84000,2748.9,860.22,10255.482,-231,0,0,4715.45694,0,750,0,0,64900.94106,0.227369749,0.2965,"Married No Kids, One Earner",703.5,,
85000,2748.9,860.22,10460.482,-231,0,0,4806.95694,13.391388,750,0,0,65591.04967,0.228340592,0.309891388,"Married No Kids, One Earner",690.10861,,
86000,2748.9,860.22,10665.482,-231,0,0,4898.45694,31.691388,750,0,0,66276.24967,0.229345934,0.3148,"Married No Kids, One Earner",685.2,,
87000,2748.9,860.22,10870.482,-231,0,0,4989.95694,49.991388,750,0,0,66961.44967,0.230328165,0.3148,"Married No Kids, One Earner",685.2,,
88000,2748.9,860.22,11075.482,-231,0,0,5085.21514,69.043028,750,0,0,67642.13983,0.23133932,0.31930984,"Married No Kids, One Earner",680.69016,,
89000,2748.9,860.22,11280.482,-231,0,0,5196.81514,91.363028,750,0,0,68303.21983,0.232548092,0.33892,"Married No Kids, One Earner",661.08,,
90000,2748.9,860.22,11485.482,-231,0,0,5308.41514,113.683028,750,0,0,68964.29983,0.233730002,0.33892,"Married No Kids, One Earner",661.08,,
91000,2748.9,860.22,11690.482,-231,0,0,5420.01514,136.003028,750,0,0,69625.37983,0.234885936,0.33892,"Married No Kids, One Earner",661.08,,
92000,2748.9,860.22,11895.482,-231,0,0,5531.61514,158.323028,750,0,0,70286.45983,0.236016741,0.33892,"Married No Kids, One Earner",661.08,,
93000,2748.9,860.22,12100.482,-231,0,0,5643.21514,180.643028,750,0,0,70947.53983,0.237123228,0.33892,"Married No Kids, One Earner",661.08,,
94000,2748.9,860.22,12305.482,-231,0,0,5754.81514,202.963028,750,0,0,71608.61983,0.238206172,0.33892,"Married No Kids, One Earner",661.08,,
95000,2748.9,860.22,12510.482,-231,0,0,5866.41514,225.283028,750,0,0,72269.69983,0.239266318,0.33892,"Married No Kids, One Earner",661.08,,
96000,2748.9,860.22,12755.292,-231,0,0,5978.01514,247.603028,750,0,0,72890.96983,0.240719064,0.37873,"Married No Kids, One Earner",621.27,,
97000,2748.9,860.22,13015.292,-231,0,0,6089.61514,278.0644784,750,0,0,73488.90838,0.242382388,0.40206145,"Married No Kids, One Earner",597.93855,,
98000,2748.9,860.22,13275.292,-231,0,0,6201.21514,340.5604784,750,0,0,74054.81238,0.244338649,0.434096,"Married No Kids, One Earner",565.904,,
99000,2748.9,860.22,13535.292,-231,0,0,6312.81514,403.0564784,750,0,0,74620.71638,0.24625539,0.434096,"Married No Kids, One Earner",565.904,,
100000,2748.9,860.22,13795.292,-231,0,0,6424.41514,465.5524784,750,0,0,75186.62038,0.248133796,0.434096,"Married No Kids, One Earner",565.904,,
110000,2748.9,860.22,16395.292,-231,0,0,7540.41514,1090.512478,750,0,0,80845.66038,0.265039451,0.434096,"Married No Kids, One Earner",565.904,,
120000,2748.9,860.22,18995.292,-231,0,0,8656.41514,1715.472478,750,0,0,86504.70038,0.279127497,0.434096,"Married No Kids, One Earner",565.904,,
130000,2748.9,860.22,21595.292,-231,0,0,9772.41514,2340.432478,750,0,0,92163.74038,0.291048151,0.434096,"Married No Kids, One Earner",565.904,,
140000,2748.9,860.22,24195.292,-231,0,0,10888.41514,2965.392478,750,0,0,97822.78038,0.301265854,0.434096,"Married No Kids, One Earner",565.904,,
150000,2748.9,860.22,26866.202,-231,0,0,12004.41514,3590.352478,750,0,0,103410.9104,0.310593931,0.441187,"Married No Kids, One Earner",558.813002,,
160000,2748.9,860.22,29766.202,-231,0,0,13220.41594,4271.312926,750,0,0,108613.9491,0.321162818,0.479696125,"Married No Kids, One Earner",520.30387,,
170000,2748.9,860.22,32666.202,-231,0,0,14436.41594,4952.272926,750,0,0,113816.9891,0.330488299,0.479696,"Married No Kids, One Earner",520.304,,
180000,2748.9,860.22,35566.202,-231,0,0,15652.41594,5633.232926,750,0,0,119020.0291,0.338777616,0.479696,"Married No Kids, One Earner",520.304,,
190000,2748.9,860.22,38466.202,-231,0,0,16868.41594,6314.192926,750,0,0,124223.0691,0.346194373,0.479696,"Married No Kids, One Earner",520.304,,
200000,2748.9,860.22,41366.202,-231,0,0,18084.41594,6995.152926,750,0,0,129426.1091,0.352869454,0.479696,"Married No Kids, One Earner",520.304,,
210000,2748.9,860.22,44266.202,-231,0,0,19300.41594,7676.112926,900,0,0,134479.1491,0.359623099,0.494696,"Married No Kids, One Earner",505.304,,
220000,2748.9,860.22,47551.202,-231,0,0,20516.41594,8357.072926,900,0,0,139297.1891,0.366830958,0.518196,"Married No Kids, One Earner",481.804,,
230000,2748.9,860.22,50851.202,-231,0,0,21832.41594,9094.032926,900,0,0,143944.2291,0.374155526,0.535296,"Married No Kids, One Earner",464.704,,
240000,2748.9,860.22,54151.202,-231,0,0,23148.41594,9830.992926,900,0,0,148591.2691,0.380869712,0.535296,"Married No Kids, One Earner",464.704,,
250000,2748.9,860.22,57451.202,-231,0,0,24464.41594,10567.95293,900,0,0,153238.3091,0.387046763,0.535296,"Married No Kids, One Earner",464.704,,
260000,2748.9,860.22,60751.202,-231,0,0,25780.41594,11304.91293,900,0,0,157885.3491,0.392748657,0.535296,"Married No Kids, One Earner",464.704,,
270000,2748.9,860.22,64051.202,-231,0,0,27096.41594,12041.87293,900,0,0,162532.3891,0.398028188,0.535296,"Married No Kids, One Earner",464.704,,
280000,2748.9,860.22,67351.202,-231,0,0,28412.41594,12778.83293,900,0,0,167179.4291,0.40293061,0.535296,"Married No Kids, One Earner",464.704,,
290000,2748.9,860.22,70651.202,-231,0,0,29728.41594,13515.79293,900,0,0,171826.4691,0.407494934,0.535296,"Married No Kids, One Earner",464.704,,
300000,2748.9,860.22,73951.202,-231,0,0,31044.41594,14252.75293,900,0,0,176473.5091,0.41175497,0.535296,"Married No Kids, One Earner",464.704,,
310000,2748.9,860.22,77251.202,-231,0,0,32360.41594,14989.71293,900,0,0,181120.5491,0.415740164,0.535296,"Married No Kids, One Earner",464.704,,
320000,2748.9,860.22,80551.202,-231,0,0,33676.41594,15726.67293,900,0,0,185767.5891,0.419476284,0.535296,"Married No Kids, One Earner",464.704,,
330000,2748.9,860.22,83851.202,-231,0,0,34992.41594,16463.63293,900,0,0,190414.6291,0.422985972,0.535296,"Married No Kids, One Earner",464.704,,
340000,2748.9,860.22,87151.202,-231,0,0,36308.41594,17200.59293,900,0,0,195061.6691,0.426289208,0.535296,"Married No Kids, One Earner",464.704,,
350000,2748.9,860.22,90451.202,-231,0,0,37624.41594,17937.55293,900,0,0,199708.7091,0.429403688,0.535296,"Married No Kids, One Earner",464.704,,
360000,2748.9,860.22,93751.202,-231,0,0,38940.41594,18674.51293,900,0,0,204355.7491,0.432345141,0.535296,"Married No Kids, One Earner",464.704,,
370000,2748.9,860.22,97051.202,-231,0,0,40256.41594,19411.47293,900,0,0,209002.7891,0.435127597,0.535296,"Married No Kids, One Earner",464.704,,
380000,2748.9,860.22,100351.202,-231,0,0,41572.41594,20148.43293,900,0,0,213649.8291,0.437763608,0.535296,"Married No Kids, One Earner",464.704,,
390000,2748.9,860.22,103651.202,-231,0,0,42888.41594,20885.39293,900,0,0,218296.8691,0.440264438,0.535296,"Married No Kids, One Earner",464.704,,
400000,2748.9,860.22,106951.202,-231,0,0,44204.41594,21622.35293,900,0,0,222943.9091,0.442640227,0.535296,"Married No Kids, One Earner",464.704,,
1000,0,0,0,-269,0,-717,0,0,0,-924,-14292,25100.92,-24.10092,0,"Married One Kid, One Earner",,-1402.92,-6496
2000,0,0,0,-269,0,-717,0,0,0,-924,-14292,26100.92,-12.05046,0,"Married One Kid, One Earner",1000,-1402.92,-6496
3000,0,48.6,0,-269,0,-717,0,0,0,-924,-13992,26752.32,-7.91744,0.3486,"Married One Kid, One Earner",651.4,-1402.92,-6496
4000,25.5,64.8,0,-269,-260,-717,0,0,0,-924,-13492,27470.62,-5.867655,0.2817,"Married One Kid, One Earner",718.3,-1402.92,-6496
5000,76.5,81,0,-269,-520,-717,0,0,0,-924,-12992,28163.42,-4.632684,0.3072,"Married One Kid, One Earner",692.8,-1402.92,-6496
6000,127.5,97.2,0,-269,-780,-717,0,0,0,-924,-12492,28856.22,-3.80937,0.3072,"Married One Kid, One Earner",692.8,-1402.92,-6496
7000,178.5,113.4,0,-269,-1040,-717,0,0,0,-924,-11992,29549.02,-3.221288571,0.3072,"Married One Kid, One Earner",692.8,-1402.92,-6496
8000,229.5,129.6,0,-269,-1300,-717,0,0,0,-924,-11492,30241.82,-2.7802275,0.3072,"Married One Kid, One Earner",692.8,-1402.92,-6496
9000,280.5,145.8,0,-269,-1560,-717,0,0,0,-924,-10992,30934.62,-2.43718,0.3072,"Married One Kid, One Earner",692.8,-1402.92,-6496
10000,331.5,162,0,-269,-1820,-717,0,0,0,-924,-10492,31627.42,-2.162742,0.3072,"Married One Kid, One Earner",692.8,-1402.92,-6496
11000,382.5,178.2,0,-269,-2080,-717,0,0,0,-924,-9992,32320.22,-1.938201818,0.3072,"Married One Kid, One Earner",692.8,-1402.92,-6496
12000,433.5,194.4,0,-269,-2335,-717,0,0,0,-924,-9492,33008.02,-1.750668333,0.3122,"Married One Kid, One Earner",687.8,-1402.92,-6496
13000,484.5,210.6,0,-269,-2335,-717,0,0,0,-924,-8992,33440.82,-1.572370769,0.5672,"Married One Kid, One Earner",432.8,-1402.92,-6496
14000,535.5,226.8,0,-269,-2335,-717,0,0,0,-924,-8492,33873.62,-1.419544286,0.5672,"Married One Kid, One Earner",432.8,-1402.92,-6496
15000,586.5,243,0,-269,-2335,-717,0,0,0,-924,-7992,34306.42,-1.287094667,0.5672,"Married One Kid, One Earner",432.8,-1402.92,-6496
16000,637.5,259.2,0,-269,-2335,-717,0,0,0,-924,-7492,34739.22,-1.17120125,0.5672,"Married One Kid, One Earner",432.8,-1402.92,-6496
17000,688.5,275.4,0,-269,-2335,-717,0,0,0,-924,-6992,35172.02,-1.068942353,0.5672,"Married One Kid, One Earner",432.8,-1402.92,-6496
18000,739.5,291.6,0,-269,-2218,-717,0,0,0,-924,-6492,35487.82,-0.971545556,0.6842,"Married One Kid, One Earner",315.8,-1402.92,-6496
19000,790.5,307.8,0,-269,-2098,-717,0,0,0,-924,-5992,35800.62,-0.884243158,0.6872,"Married One Kid, One Earner",312.8,-1402.92,-6496
20000,841.5,324,0,-269,-1978,-717,0,0,0,-924,-5492,36113.42,-0.805671,0.6872,"Married One Kid, One Earner",312.8,-1402.92,-6496
21000,892.5,340.2,0,-269,-1858,-717,0,0,60,-924,-4992,36366.22,-0.731724762,0.7472,"Married One Kid, One Earner",252.8,-1402.92,-6496
22000,943.5,356.4,0,-269,-1738,-717,0,0,120,-924,-4492,36572.3,-0.662377273,0.79392,"Married One Kid, One Earner",206.08,-1356.2,-6496
23000,994.5,372.6,0,-269,-1618,-717,0,0,180,-924,-3992,36745.1,-0.597613043,0.8272,"Married One Kid, One Earner",172.8,-1276.2,-6496
24000,1045.5,388.8,0,-269,-1498,-717,0,0,240,-924,-3492,36917.9,-0.538245833,0.8272,"Married One Kid, One Earner",172.8,-1196.2,-6496
25000,1096.5,405,0,-269,-1378,-717,0,0,300,-924,-2992,37090.7,-0.483628,0.8272,"Married One Kid, One Earner",172.8,-1116.2,-6496
26000,1147.5,421.2,0,-269,-1258,-717,0,0,300,-924,-2492,37323.5,-0.435519231,0.7672,"Married One Kid, One Earner",232.8,-1036.2,-6496
27000,1198.5,437.4,0.615,-269,-1138,-717,0,0,300,-924,-1992,37555.685,-0.390951296,0.767815,"Married One Kid, One Earner",232.185,-956.2,-6496
28000,1249.5,453.6,140.535,-269,-1018,-717,0,0,300,-924,-1492,37648.565,-0.344591607,0.90712,"Married One Kid, One Earner",92.88,-876.2,-6496
29000,1300.5,469.8,280.455,-269,-898,-717,0,0,300,-924,-992,37741.445,-0.301429138,0.90712,"Married One Kid, One Earner",92.88,-796.2,-6496
30000,1351.5,486,420.375,-269,-778,-717,0,0,300,-907.24,-492,37817.565,-0.2605855,0.92388,"Married One Kid, One Earner",76.12,-716.2,-6496
31000,1402.5,502.2,560.295,-269,-658,-717,0,0,300,-867.24,0,37839.945,-0.220643387,0.97762,"Married One Kid, One Earner",22.38,-636.2,-6457.5
32000,1453.5,518.4,700.215,-269,-538,-717,0,0,300,-827.24,0,38322.825,-0.197588281,0.51712,"Married One Kid, One Earner",482.88,-556.2,-6387.5
33000,1504.5,534.6,840.135,-269,-418,-717,0,0,300,-787.24,0,38805.705,-0.175930455,0.51712,"Married One Kid, One Earner",482.88,-476.2,-6317.5
34000,1555.5,550.8,980.055,-269,-298,-717,0,0,300,-747.24,0,39288.585,-0.155546618,0.51712,"Married One Kid, One Earner",482.88,-396.2,-6247.5
35000,1606.5,567,1119.975,-269,-178,-717,0,0,300,-707.24,0,39771.465,-0.136327571,0.51712,"Married One Kid, One Earner",482.88,-316.2,-6177.5
36000,1657.5,583.2,1259.895,-269,-58,-717,0,0,300,-667.24,0,40254.345,-0.11817625,0.51712,"Married One Kid, One Earner",482.88,-236.2,-6107.5
37000,1708.5,599.4,1399.815,-269,62,-715.8,0,0,360,-627.24,0,40676.025,-0.099352027,0.57832,"Married One Kid, One Earner",421.68,-156.2,-6037.5
38000,1759.5,615.6,1539.735,-269,0,-665.8,0,0,420,-587.24,0,41230.905,-0.085023816,0.44512,"Married One Kid, One Earner",554.88,-76.2,-5967.5
39000,1810.5,631.8,1679.655,-269,0,-615.8,8.03035,0,450,-547.24,0,41749.55465,-0.070501401,0.48135035,"Married One Kid, One Earner",518.64965,0,-5897.5
40000,1861.5,648,1819.575,-269,0,-565.8,55.13675,0,450,-507.24,0,42335.32825,-0.058383206,0.4142264,"Married One Kid, One Earner",585.7736,0,-5827.5
41000,1912.5,664.2,1959.495,-269,0,-515.8,102.24315,0,450,-467.24,0,42921.10185,-0.046856143,0.4142264,"Married One Kid, One Earner",585.7736,0,-5757.5
42000,1963.5,680.4,2099.415,-269,0,-465.8,149.34955,0,450,-427.24,0,43506.87545,-0.035877987,0.4142264,"Married One Kid, One Earner",585.7736,0,-5687.5
43000,2014.5,696.6,2239.335,-269,0,-415.8,196.45595,0,450,-387.24,0,44092.64905,-0.025410443,0.4142264,"Married One Kid, One Earner",585.7736,0,-5617.5
44000,2065.5,712.8,2379.255,-269,0,-365.8,247.41335,0,450,-347.24,0,44674.57165,-0.015331174,0.4180774,"Married One Kid, One Earner",581.9226,0,-5547.5
45000,2116.5,729,2519.175,-269,0,-315.8,335.51975,0,450,-307.24,0,45219.34525,-0.004874339,0.4552264,"Married One Kid, One Earner",544.7736,0,-5477.5
46000,2167.5,745.2,2659.095,-269,0,-265.8,423.62615,0,450,-267.24,0,45764.11885,0.005127851,0.4552264,"Married One Kid, One Earner",544.7736,0,-5407.5
47000,2218.5,761.4,2799.015,-269,0,-215.8,511.73255,0,450,-227.24,0,46308.89245,0.014704416,0.4552264,"Married One Kid, One Earner",544.7736,0,-5337.5
48000,2269.5,777.6,2959.785,-269,0,-165.8,599.83895,0,450,-187.24,0,46832.81605,0.024316332,0.4760764,"Married One Kid, One Earner",523.9236,0,-5267.5
49000,2320.5,793.8,3154.705,-269,0,-115.8,687.94535,0,600,-147.24,0,47172.58965,0.037294089,0.6602264,"Married One Kid, One Earner",339.7736,0,-5197.5
50000,2371.5,810,3349.625,-269,0,-65.8,776.05175,0,600,-107.24,0,47662.36325,0.046752735,0.5102264,"Married One Kid, One Earner",489.7736,0,-5127.5
51000,2422.5,826.2,3544.545,-269,0,-15.8,864.15815,0,600,-67.24,0,48152.13685,0.055840454,0.5102264,"Married One Kid, One Earner",489.7736,0,-5057.5
52000,2473.5,842.4,3739.465,-269,0,0,952.26455,0,600,-27.24,0,48676.11045,0.063920953,0.4760264,"Married One Kid, One Earner",523.9736,0,-4987.5
53000,2524.5,858.6,3934.385,-269,0,0,1040.37095,0,600,0,0,49228.64405,0.071157659,0.4474664,"Married One Kid, One Earner",552.5336,0,-4917.5
54000,2575.5,860.22,4131.492,-269,0,0,1129.21364,0,600,0,0,49820.07436,0.07740603,0.40856969,"Married One Kid, One Earner",591.43031,0,-4847.5
55000,2626.5,860.22,4328.842,-269,0,0,1218.13814,0,600,0,0,50412.79986,0.083403639,0.4072745,"Married One Kid, One Earner",592.7255,0,-4777.5
56000,2677.5,860.22,4526.192,-269,0,0,1307.06264,0,600,0,0,51005.52536,0.089187047,0.4072745,"Married One Kid, One Earner",592.7255,0,-4707.5
57000,2728.5,860.22,4723.542,-269,0,0,1395.98714,0,600,0,0,51598.25086,0.094767529,0.4072745,"Married One Kid, One Earner",592.7255,0,-4637.5
58000,2748.9,860.22,4925.482,-269,0,0,1486.45694,0,600,0,0,52215.44106,0.099733775,0.3828098,"Married One Kid, One Earner",617.1902,0,-4567.5
59000,2748.9,860.22,5130.482,-269,0,0,1577.95694,0,600,0,0,52848.94106,0.104255236,0.3665,"Married One Kid, One Earner",633.5,0,-4497.5
60000,2748.9,860.22,5335.482,-269,0,0,1669.45694,0,600,0,0,53482.44106,0.108625982,0.3665,"Married One Kid, One Earner",633.5,0,-4427.5
61000,2748.9,860.22,5540.482,-269,0,0,1860.95694,0,600,0,0,54015.94106,0.11449277,0.4665,"Married One Kid, One Earner",533.5,0,-4357.5
62000,2748.9,860.22,5745.482,-269,0,0,2052.45694,0,600,0,0,54549.44106,0.120170305,0.4665,"Married One Kid, One Earner",533.5,0,-4287.5
63000,2748.9,860.22,5950.482,-269,0,0,2243.95694,0,600,0,0,55082.94106,0.125667602,0.4665,"Married One Kid, One Earner",533.5,0,-4217.5
64000,2748.9,860.22,6155.482,-269,0,0,2435.45694,0,600,0,0,55616.44106,0.130993108,0.4665,"Married One Kid, One Earner",533.5,0,-4147.5
65000,2748.9,860.22,6360.482,-269,0,0,2626.95694,0,600,0,0,56149.94106,0.136154753,0.4665,"Married One Kid, One Earner",533.5,0,-4077.5
66000,2748.9,860.22,6565.482,-269,0,0,2818.45694,0,600,0,0,56684.35306,0.141146166,0.465588,"Married One Kid, One Earner",534.412,0,-4008.412
67000,2748.9,860.22,6770.482,-269,0,0,3009.95694,0,600,0,0,57255.85306,0.145435029,0.4285,"Married One Kid, One Earner",571.5,0,-3976.412
68000,2748.9,860.22,6975.482,-269,0,0,3201.45694,0,600,0,0,57827.35306,0.149597749,0.4285,"Married One Kid, One Earner",571.5,0,-3944.412
69000,2748.9,860.22,7180.482,-269,0,0,3342.95694,0,600,0,0,58448.85306,0.152915173,0.3785,"Married One Kid, One Earner",621.5,0,-3912.412
70000,2748.9,860.22,7385.482,-269,0,0,3434.45694,0,600,0,0,59120.35306,0.155423528,0.3285,"Married One Kid, One Earner",671.5,0,-3880.412
71000,2748.9,860.22,7590.482,-269,0,0,3525.95694,0,600,0,0,59791.85306,0.157861225,0.3285,"Married One Kid, One Earner",671.5,0,-3848.412
72000,2748.9,860.22,7795.482,-269,0,0,3617.45694,0,600,0,0,60463.35306,0.160231208,0.3285,"Married One Kid, One Earner",671.5,0,-3816.412
73000,2748.9,860.22,8000.482,-269,0,0,3708.95694,0,700,0,0,61034.85306,0.163906122,0.4285,"Married One Kid, One Earner",571.5,0,-3784.412
74000,2748.9,860.22,8205.482,-269,0,0,3800.45694,0,750,0,0,61656.35306,0.16680604,0.3785,"Married One Kid, One Earner",621.5,0,-3752.412
75000,2748.9,860.22,8410.482,-269,0,0,3891.95694,0,750,0,0,62327.85306,0.168961959,0.3285,"Married One Kid, One Earner",671.5,0,-3720.412
76000,2748.9,860.22,8615.482,-269,0,0,3983.45694,0,750,0,0,62999.35306,0.171061144,0.3285,"Married One Kid, One Earner",671.5,0,-3688.412
77000,2748.9,860.22,8820.482,-269,0,0,4074.95694,0,750,0,0,63670.85306,0.173105804,0.3285,"Married One Kid, One Earner",671.5,0,-3656.412
78000,2748.9,860.22,9025.482,-269,0,0,4166.45694,0,750,0,0,64342.35306,0.175098038,0.3285,"Married One Kid, One Earner",671.5,0,-3624.412
79000,2748.9,860.22,9230.482,-269,0,0,4257.95694,0,750,0,0,65013.85306,0.177039835,0.3285,"Married One Kid, One Earner",671.5,0,-3592.412
80000,2748.9,860.22,9435.482,-269,0,0,4349.45694,0,750,0,0,65685.35306,0.178933087,0.3285,"Married One Kid, One Earner",671.5,0,-3560.412
81000,2748.9,860.22,9640.482,-269,0,0,4440.95694,0,750,0,0,66356.85306,0.180779592,0.3285,"Married One Kid, One Earner",671.5,0,-3528.412
82000,2748.9,860.22,9845.482,-269,0,0,4532.45694,0,750,0,0,67028.35306,0.18258106,0.3285,"Married One Kid, One Earner",671.5,0,-3496.412
83000,2748.9,860.22,10050.482,-269,0,0,4623.95694,0,750,0,0,67699.85306,0.18433912,0.3285,"Married One Kid, One Earner",671.5,0,-3464.412
84000,2748.9,860.22,10255.482,-269,0,0,4715.45694,0,750,0,0,68371.35306,0.186055321,0.3285,"Married One Kid, One Earner",671.5,0,-3432.412
85000,2748.9,860.22,10460.482,-269,0,0,4806.95694,13.391388,750,0,0,69029.46167,0.187888686,0.341891388,"Married One Kid, One Earner",658.10861,0,-3400.412
86000,2748.9,860.22,10665.482,-269,0,0,4898.45694,31.691388,750,0,0,69682.66167,0.189736492,0.3468,"Married One Kid, One Earner",653.2,0,-3368.412
